code;arrivals;average;departures;dayscount_total;geom;slots;name;unique_clients;unique_rides;roundtrips;arr_p_dep;dep_per_days;av_p_dep__per_days
314;2029;17;2177;126;POINT (37.529599 55.678088);12;Ленинский пр-т, д.86;844;39;30;4206;17,27777778;33,38095238
315;2965;18;2820;153;POINT (37.605469 55.724028);12;Ленинский пр-т, д.9, стр.3;1538;55;24;5785;18,43137255;37,81045752
316;4850;36;4717;132;POINT (37.600371 55.72112);12;Ленинский пр-т, д.15А;2528;54;29;9567;35,73484848;72,47727273
317;3726;23;3556;152;POINT (37.587744 55.712075);12;Ленинский пр-т, д.33;1951;55;23;7282;23,39473684;47,90789474
318;1512;14;1503;107;POINT (37.57299 55.70325);12;Ленинский пр-т, д.45;611;41;15;3015;14,04672897;28,17757009
319;1437;10;1529;151;POINT (37.550828 55.690314);15;Ленинский пр-т, д.69;591;39;22;2966;10,12582781;19,64238411
320;2428;17;2607;151;POINT (37.546697 55.688289);15;Ленинский пр-т, д.73/8;1145;44;23;5035;17,26490066;33,34437086
321;1993;16;2006;124;POINT (37.54062 55.68396);12;Ленинский пр-т, д.79;598;30;27;3999;16,17741935;32,25
322;1066;13;1063;84;POINT (37.520408 55.670425);12;Ленинский пр-т, д.99;475;45;14;2129;12,6547619;25,3452381
324;455;7;411;60;POINT (37.509229 55.663915);10;ул. Лобачевского, д.2, стр.1;230;56;13;866;6,85;14,43333333
325;989;10;935;92;POINT (37.594161 55.659076);12;ул. Болотниковская, д.34;316;34;28;1924;10,16304348;20,91304348
326;1494;15;1404;94;POINT (37.580711 55.653507);12;ул. Каховка, д.10/12, к.1;455;32;23;2898;14,93617021;30,82978723
327;1325;14;1275;93;POINT (37.589172 55.651447);12;ул. Каховка, 9, к.1;510;40;30;2600;13,70967742;27,95698925
328;1306;13;1171;92;POINT (37.60453 55.641757);12;Балаклавский пр-т, д.16;564;48;34;2477;12,72826087;26,92391304
329;752;12;746;64;POINT (37.537874 55.675732);12;ул. Гарибальди, д.6, к.1;237;32;13;1498;11,65625;23,40625
330;2574;20;2564;131;POINT (37.570182 55.684347);12;ул. Профсоюзная, д.7/12;1057;41;27;5138;19,57251908;39,22137405
331;1499;13;1728;131;POINT (37.557307 55.673362);12;ул. Профсоюзная, д.46, корп.1;715;41;21;3227;13,19083969;24,63358779
332;4760;40;5253;131;POINT (37.552943 55.66904);24;ул. Профсоюзная, д.58/32, корп.2;1743;33;19;10013;40,09923664;76,4351145
333;2917;28;3133;113;POINT (37.539688 55.656261);12;ул. Профсоюзная, д.61А;1176;38;21;6050;27,72566372;53,53982301
334;2572;24;2978;126;POINT (37.52562 55.64201);12;ул. Профсоюзная, д.104;1040;35;17;5550;23,63492063;44,04761905
335;1395;17;1487;85;POINT (37.539333 55.656261);12;ул. Профсоюзная, д.82, корп.1;561;38;10;2882;17,49411765;33,90588235
336;671;8;697;84;POINT (37.53202 55.650684);12;ул. Профсоюзная, д.88/20;236;34;17;1368;8,297619048;16,28571429
337;953;10;951;93;POINT (37.534259 55.668342);12;ул. Академика Пилюгина, д.18;365;38;25;1904;10,22580645;20,47311828
338;1917;20;1904;94;POINT (37.526493 55.667076);12;ул. Новаторов (пересечение с ул. Воронцовские Пруды);736;39;33;3821;20,25531915;40,64893617
339;1077;11;1026;93;POINT (37.514881 55.658798);12;ул. Обручева, д. 16, к.1;298;29;25;2103;11,03225806;22,61290323
340;4548;35;4525;131;POINT (37.608648 55.718027);12;ул. Шаболовка, д.32;1800;40;27;9073;34,54198473;69,25954198
341;2443;18;2384;131;POINT (37.594389 55.709908);12;ул. Орджоникидзе, д.11, стр.1/2;1071;45;26;4827;18,19847328;36,84732824
342;898;16;890;57;POINT (37.529504 55.723348);12;ул. Мосфильмовская, д.1, стр.4;438;49;20;1788;15,61403509;31,36842105
343;4861;32;4901;153;POINT (37.555253 55.706436);12;ул. Косыгина, д.26;2993;61;25;9762;32,03267974;63,80392157
344;2629;17;2594;151;POINT (37.564811 55.706706);12;ул. Косыгина, д.8, стр.2;1633;63;36;5223;17,17880795;34,58940397
345;3621;22;3413;153;POINT (37.577367 55.708347);12;ул. Косыгина, д.2, стр.19;2009;59;32;7034;22,30718954;45,97385621
346;3408;26;3245;127;POINT (37.58531 55.70674);12;ст.м.Ленинский проспект (южный вестибюль);1383;43;21;6653;25,5511811;52,38582677
347;2352;20;2294;113;POINT (37.589305 55.691394);12;ул. Шверника, д.13, корп.1;558;24;30;4646;20,30088496;41,11504425
348;1333;16;1299;83;POINT (37.517116 55.716167);12;ул. Мосфильмовская, д.17/25;511;39;30;2632;15,65060241;31,71084337
